time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
0.0,548862.5914322938,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023486016013722,0.0,0.0,-5391106.177208466,-0.0,-0.0,7600000.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0
0.05,548862.5914322938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.819865743051448,0.0,0.0,-5389756.826531704,-0.0,-0.0,0.0,0.0,0.0,-0.13271672086144054,-0.0,-0.0,1.0,0.0,0.0
0.1,548862.5914322938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.81986504407183,0.0,0.0,-5389756.8510497585,-0.0,-0.0,0.0,0.0,0.0,0.2754450982982641,-0.0,-0.0,1.0,0.0,0.0
0.15,548862.5914322938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.81986202365538,0.0,0.0,-5389756.917104774,-0.0,-0.0,0.0,0.0,0.0,1.9992937137136266,-0.0,-0.0,1.0,0.0,0.0
0.2,548862.5914322938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.81986586229498,0.0,0.0,-5389757.024696738,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9999999999426874,0.0,0.0
