time,phase,lat,lon,alt,vel_x,vel_y,vel_z,vel_mag,pos_x,pos_y,pos_z,thrust,target_att_x,target_att_y,target_att_z,f_perp_x,f_perp_y,f_perp_z,rw_x,rw_y,rw_z
0.0,ASCENT,-4.7944294207738004e-08,-4.776185169349938e-08,25.050450258888304,1.0090051820538677,-0.10621792955123188,-0.10662366478630832,1.0201677861323462,6371025.050450259,-0.005310896477561594,-0.005331183239315416,1500000.0,0.8324652308470926,0.3910442320128873,0.3925379574514395,0.0,-106217.92955123188,-106623.6647863083,0.0,-1000000.0,1000000.0
0.05,ASCENT,-1.432397562410755e-07,-1.4269311671716444e-07,25.151359871029854,2.018192251470202,-0.21111833614122094,-0.21192827654060176,2.040241287237093,6371025.151359871,-0.015866813284622642,-0.015927597066345507,1500000.0,0.8324652160040911,0.3910442477517378,0.39253797325040984,186.9870602579331,-106216.78381807082,-106624.6421883704,17.303606007683623,-1000000.0,1000000.0
0.1,ASCENT,-2.846993140313005e-07,-2.8360893822516163e-07,25.302746481262147,3.0277321979317193,-0.3133837408675432,-0.3145929600192115,3.0601209717797473,6371025.302746481,-0.0315360003279998,-0.03165724506730608,1500000.0,0.8324651863224971,0.39104427922471097,0.39253800484370466,560.9600228572077,-106214.92407510935,-106625.18313318393,49.50278707974667,-1000000.0,1000000.0
0.15,ASCENT,-4.7054154272458116e-07,-4.6873163205690524e-07,25.50463558640331,4.037782110707876,-0.4116957553137546,-0.41329593431940526,4.079704805230503,6371025.504635586,-0.05212078809368753,-0.052322041783276346,1500000.0,0.8324651418112873,0.3910443264222098,0.39253805222183696,1121.9122448450769,-106211.3519393988,-106624.31468822453,94.31537652517264,-1000000.0,1000000.0
0.2,ASCENT,-6.98390090679157e-07,-6.956901101791264e-07,25.75705949869007,5.048478218440746,-0.5047347083875915,-0.5067141415439493,5.098887002980393,6371025.757059498,-0.0773575235130671,-0.07765774886047382,1500000.0,0.8324650824842078,0.39104438932955315,0.39253811537026295,1869.8229391520533,-106204.57395529843,-106620.57345448516,149.5567473782376,-1000000.0,1000000.0
0.25,ASCENT,-9.652729799906444e-07,-9.61519177406129e-07,26.060055945068598,6.059928918330783,-0.5911793643469075,-0.5935229676063647,6.117556787568676,6371026.060055944,-0.10691649173041248,-0.10733389724079205,1500000.0,0.8324650083600759,0.3910444679266569,0.39253819426906306,2804.644186890944,-106192.60108517158,-106612.00634245687,213.10998685817427,-1000000.0,1000000.0
0.3,ASCENT,-1.2676218368622822e-06,-1.2626587560858028e-06,26.4136663377285,7.072207792974957,-0.6697067624443994,-0.6723960860543867,7.135597151691002,6371026.413666334,-0.14040182985263244,-0.1409537015435114,1500000.0,0.8324649194631824,0.39104456218760614,0.3925382888925113,3926.283623243605,-106172.94812954873,-106596.17175585391,282.89384285019526,-1000000.0,1000000.0
0.35,ASCENT,-1.6012711210955229e-06,-1.5949531071083514e-06,26.81793366931379,8.08534661461478,-0.7389922085904492,-0.7420054559540771,8.15288362847684,6371026.817933665,-0.1773514402821549,-0.17805397434121525,1500000.0,0.8324648158237932,0.3910446720801239,0.3925383992085444,5234.582801836241,-106142.63308698329,-106570.14138522228,356.8272462059592,-1000000.0,1000000.0
0.4,ASCENT,-1.9614574380274254e-06,-1.9536501292260895e-06,27.27290008869022,9.099328338434908,-0.7977094493490425,-0.8010215050828348,9.169283070547582,6371027.272900081,-0.21723691274960705,-0.21810504959535698,1500000.0,0.8324646974787498,0.3910447975649331,0.3925385251781205,6729.291246866909,-106098.17644069124,-106530.50288949306,432.78850993849665,-1000000.0,1000000.0
0.45,ASCENT,-2.3428190304096167e-06,-2.3334008322224936e-06,27.778604096733034,10.114080088815182,-0.844531058400487,-0.848113529940458,10.184652439393249,6371027.778604086,-0.2594634656696314,-0.2605107260923799,1500000.0,0.8324645644721687,0.39104493859501566,0.3925386667544777,8410.036208691281,-106035.60030558948,-106473.36384944018,508.5662080841804,-1000000.0,1000000.0
0.5,ASCENT,-2.7393955620485856e-06,-2.7282590928624714e-06,28.33507740776986,11.129466145080094,-0.8781290652577854,-0.8819503444360868,11.198837606635138,6371028.335077393,-0.3033699189325207,-0.30460824331418423,1500000.0,0.8324644168562366,0.39104509511476765,0.3925388238822859,10276.288147493095,-105950.4272633059,-106394.35753481537,581.7969530302319,-1000000.0,1000000.0
0.55,ASCENT,-3.1446283195796436e-06,-3.131681815668568e-06,28.94234145898372,12.145280936309277,-0.8971758553987849,-0.9012012096151569,12.211672168773609,6371028.942341439,-0.34822871170245995,-0.34966830379494207,1500000.0,0.8324642546921034,0.3910452670590522,0.3925389964966992,12327.321981441652,-105837.67851255537,-106288.65127779327,649.8822817314856,-1000000.0,1000000.0
0.6,ASCENT,-3.551360973663301e-06,-3.536529633187269e-06,29.60040356684476,13.16124205816843,-0.900345369879335,-0.9045370775998433,13.222976277053421,6371029.600403543,-0.3932459801964267,-0.3948951576749342,1500000.0,0.8324640780508675,0.3910454543521526,0.39253918452230685,14562.174150703988,-105691.87058702383,-106150.95866940569,709.8715856109602,-1000000.0,1000000.0
0.65,ASCENT,-3.951841056445555e-06,-3.935068292161893e-06,30.30925273988396,14.17698332848844,-0.8863146305645763,-0.8906321843320044,14.232555484113174,6371030.309252709,-0.4375617117246555,-0.4394267668915344,1500000.0,0.8324638870146556,0.3910456569066273,0.39253938787198794,16979.59556707431,-105507.00917753638,-105975.5575564637,758.2883618520732,-1000000.0,1000000.0
0.7,ASCENT,-4.3377223288761e-06,-4.318970882220326e-06,31.06885514035821,15.192047902454712,-0.8537656136452689,-0.8581660283759526,15.24019960911865,6371031.068855104,-0.48024999240691896,-0.48233506831033207,1500000.0,0.8324636816777898,0.39104587462206813,0.3925396064456696,19578.000540833436,-105276.5771850459,-105756.31726586222,790.8585040763046,-1000000.0,1000000.0
0.75,ASCENT,-4.7000682306404936e-06,-4.679321070942969e-06,31.879149220883846,16.20588147275882,-0.8013874875798512,-0.8058257783973888,16.24568162311101,6371031.879149178,-0.5203193667859115,-0.5226263572302015,1500000.0,0.8324634621480449,0.3910461073837637,0.3925398401289944,22355.411801242175,-104993.51121439945,-105486.74142603023,802.061601250685,-1000000.0,1000000.0
0.8,ASCENT,-5.029356629770096e-06,-5.006617510554596e-06,32.740040506236255,17.217825584894676,-0.7278792185295072,-0.7323091633787735,17.248756556325713,6371032.740040457,-0.5567133277123869,-0.5592418153991401,1500000.0,0.8324632285479865,0.3910463550612741,0.3925400887919027,25309.401752813552,-104650.15429846862,-105160.03917284784,784.3440822584166,-1000000.0,1000000.0
0.85,ASCENT,-5.315486125082416e-06,-5.290779570074636e-06,33.651396065950394,18.227111102924766,-0.631952517915386,-0.6363279258318321,18.249160429248693,6371033.651396012,-0.5883109536081562,-0.5910582116907317,1500000.0,0.8324629810163926,0.3910466175069134,0.3925403522871285,28437.03012969918,-104238.15734408314,-104769.25274872515,726.6390909098373,-1000000.0,1000000.0
0.9,ASCENT,-5.547784220150268e-06,-5.521154504483722e-06,34.6130386646837,19.23285186644469,-0.5123350380810022,-0.5166119837780365,19.246609209147294,6371034.613038605,-0.6139277055122063,-0.6168888108796335,1500000.0,0.8324627197097474,0.3910468945541486,0.39254063044862897,31734.778203006998,-103748.26147261541,-104307.50953037504,611.3306151736665,-1000000.0,1000000.0
