time,phase,lat,lon,alt,vel_x,vel_y,vel_z,vel_mag,qx,qy,qz,qw
2.05,ASCENT,0.0,0.0,44.19033370818943,8.599244522449403,0.0,0.0,8.599244522449403,0.0,0.0,1.0,0.0
2.1,ASCENT,0.0,0.0,44.630721278488636,8.807751400821148,0.0,0.0,8.807751400821148,0.0,0.0,1.0,0.0
2.15,ASCENT,0.0,0.0,45.08154299017042,9.016434235159208,0.0,0.0,9.016434235159208,0.0,0.0,1.0,0.0
2.2,ASCENT,0.0,0.0,45.54280764423311,9.225293089057557,0.0,0.0,9.225293089057557,0.0,0.0,1.0,0.0
2.25,ASCENT,0.0,0.0,46.01452404540032,9.434328026100252,0.0,0.0,9.434328026100252,0.0,0.0,1.0,0.0
2.3,ASCENT,0.0,0.0,46.49670100118965,9.643539109861546,0.0,0.0,9.643539109861546,0.0,0.0,1.0,0.0
2.35,ASCENT,0.0,0.0,46.989347320981324,9.852926403906018,0.0,0.0,9.852926403906018,0.0,0.0,1.0,0.0
2.4,ASCENT,0.0,0.0,47.492471819743514,10.062489971788684,0.0,0.0,10.062489971788684,0.0,0.0,1.0,0.0
2.45,ASCENT,0.0,0.0,48.00608331337571,10.272229877055128,0.0,0.0,10.272229877055128,0.0,0.0,1.0,0.0
2.5,ASCENT,0.0,0.0,48.53019062243402,10.482146183241623,0.0,0.0,10.482146183241623,0.0,0.0,1.0,0.0
2.55,ASCENT,0.0,0.0,49.06480257026851,10.692238953875254,0.0,0.0,10.692238953875254,0.0,0.0,1.0,0.0
2.6,ASCENT,0.0,0.0,49.609927983023226,10.90250825247405,0.0,0.0,10.90250825247405,0.0,0.0,1.0,0.0
2.65,ASCENT,0.0,0.0,50.16557569056749,11.112954142547105,0.0,0.0,11.112954142547105,0.0,0.0,1.0,0.0
2.7,ASCENT,0.0,0.0,50.73175452463329,11.323576687594715,0.0,0.0,11.323576687594715,0.0,0.0,1.0,0.0
2.75,ASCENT,0.0,0.0,51.30847332254052,11.534375951108496,0.0,0.0,11.534375951108496,0.0,0.0,1.0,0.0
2.8,ASCENT,0.0,0.0,51.895740922540426,11.745351996571527,0.0,0.0,11.745351996571527,0.0,0.0,1.0,0.0
2.85,ASCENT,0.0,0.0,52.493566166609526,11.956504887458475,0.0,0.0,11.956504887458475,0.0,0.0,1.0,0.0
2.9,ASCENT,0.0,0.0,53.101957901380956,12.167834687235732,0.0,0.0,12.167834687235732,0.0,0.0,1.0,0.0
2.95,ASCENT,0.0,0.0,53.72092497441918,12.379341459361545,0.0,0.0,12.379341459361545,0.0,0.0,1.0,0.0
3.0,ASCENT,0.0,0.0,54.35047623794526,12.591025267286154,0.0,0.0,12.591025267286154,0.0,0.0,1.0,0.0
3.05,ASCENT,0.0,0.0,54.99062054697424,12.802886174451935,0.0,0.0,12.802886174451935,0.0,0.0,1.0,0.0
3.1,ASCENT,0.0,0.0,55.64136675931513,13.014924244293523,0.0,0.0,13.014924244293523,0.0,0.0,1.0,0.0
3.15,ASCENT,0.0,0.0,56.30272373650223,13.227139540237967,0.0,0.0,13.227139540237967,0.0,0.0,1.0,0.0
3.2,ASCENT,0.0,0.0,56.9747003428638,13.439532125704863,0.0,0.0,13.439532125704863,0.0,0.0,1.0,0.0
3.25,ASCENT,0.0,0.0,57.65730544645339,13.652102064106494,0.0,0.0,13.652102064106494,0.0,0.0,1.0,0.0
3.3,ASCENT,0.0,0.0,58.350547917187214,13.864849418847975,0.0,0.0,13.864849418847975,0.0,0.0,1.0,0.0
3.35,ASCENT,0.0,0.0,59.054436629638076,14.077774253327398,0.0,0.0,14.077774253327398,0.0,0.0,1.0,0.0
3.4,ASCENT,0.0,0.0,59.76898046117276,14.290876630935976,0.0,0.0,14.290876630935976,0.0,0.0,1.0,0.0
3.45,ASCENT,0.0,0.0,60.494188291952014,14.50415661505819,0.0,0.0,14.50415661505819,0.0,0.0,1.0,0.0
3.5,ASCENT,0.0,0.0,61.23006900586188,14.71761426907193,0.0,0.0,14.71761426907193,0.0,0.0,1.0,0.0
3.55,ASCENT,0.0,0.0,61.97663148865104,14.931249656348658,0.0,0.0,14.931249656348658,0.0,0.0,1.0,0.0
