time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
1.05,545977.0115104627,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.096530241311072,0.0,0.0,-5362766.236211731,-0.0,-0.0,7600000.0,0.0,0.0,-59.52672199135723,-0.0,-0.0,1.0,0.0,0.0
1.1,545839.6029427565,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.100022601343962,0.0,0.0,-5361416.527720025,-0.0,-0.0,7600000.0,0.0,0.0,-65.38527284532917,-0.0,-0.0,1.0,0.0,0.0
1.15,545702.1943750503,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10351623793511,0.0,0.0,-5360066.802170421,-0.0,-0.0,7600000.0,0.0,0.0,-71.52384592520077,-0.0,-0.0,1.0,0.0,0.0
1.2,545564.785807344,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10701115084108,0.0,0.0,-5358717.059561258,-0.0,-0.0,7600000.0,0.0,0.0,-77.94310196414511,-0.0,-0.0,1.0,0.0,0.0
1.25,545427.3772396378,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.110507339820367,0.0,0.0,-5357367.299890884,-0.0,-0.0,7600000.0,0.0,0.0,-84.64370050167541,-0.0,-0.0,1.0,0.0,0.0
1.3,545289.9686719315,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114004804633409,0.0,0.0,-5356017.523157658,-0.0,-0.0,7600000.0,0.0,0.0,-91.62629987314786,-0.0,-0.0,1.0,0.0,0.0
1.35,545152.5601042253,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1175035450426165,0.0,0.0,-5354667.729359945,-0.0,-0.0,7600000.0,0.0,0.0,-98.89155719927602,-0.0,-0.0,1.0,0.0,0.0
1.4,545015.151536519,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121003560812391,0.0,0.0,-5353317.918496121,-0.0,-0.0,7600000.0,0.0,0.0,-106.44012837560425,-0.0,-0.0,1.0,0.0,0.0
1.45,544877.7429688128,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124504851709131,0.0,0.0,-5351968.090564578,-0.0,-0.0,7600000.0,0.0,0.0,-114.27266806203443,-0.0,-0.0,1.0,0.0,0.0
1.5,544740.3344011066,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128007417501289,0.0,0.0,-5350618.245563707,-0.0,-0.0,7600000.0,0.0,0.0,-122.38982967224156,-0.0,-0.0,1.0,0.0,0.0
1.55,544602.9258334003,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.131511257959364,0.0,0.0,-5349268.383491917,-0.0,-0.0,7600000.0,0.0,0.0,-130.79226536319553,-0.0,-0.0,1.0,0.0,0.0
1.6,544465.5172656941,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.135016372855924,0.0,0.0,-5347918.504347624,-0.0,-0.0,7600000.0,0.0,0.0,-139.48062602456162,-0.0,-0.0,1.0,0.0,0.0
1.65,544328.1086979879,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138522761965655,0.0,0.0,-5346568.608129253,-0.0,-0.0,7600000.0,0.0,0.0,-148.45556126814915,-0.0,-0.0,1.0,0.0,0.0
1.7,544190.7001302816,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1420304250653475,0.0,0.0,-5345218.694835239,-0.0,-0.0,7600000.0,0.0,0.0,-157.71771941738965,-0.0,-0.0,1.0,0.0,0.0
